Field Label	Field Name	Field Type	Indexed	Model	Readonly	Related Model	Stored	Type	Blacklisted in web forms	Column 1	Column 2	Company Dependent	Complete Name	Compute	Copied	Created by	Created on	Currency field	Dependencies	Display Name	Domain	Enable Ordered Tracking	Expand Groups	External ID	Field Help	Groups	ID	In Apps	Last Updated by	Last Updated on	Model Name	On Delete	Related Field	Related Field Definition	Relation Field	Relation field	Relation Table	Required	Sanitize HTML	Sanitize HTML Attributes	Sanitize HTML Form	Sanitize HTML overridable	Sanitize HTML Style	Sanitize HTML Tags	Selectable	Selection Options	Selection Options (Deprecated)	Size	Strip Class Attribute	Strip Style Attribute	Translatable
Access Controlled	access_controlled	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Access Controlled (Inventory Locations)		0		records_management.field_stock_location__access_controlled	Requires special access authorization		27542	records_management			stock.location														TRUE			0
Active	active	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Active (Inventory Locations)		0		stock.field_stock_location__active	By unchecking the active field, you may hide a location without deleting it.		8672	stock			stock.location														TRUE			0
Aisle	aisle	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Aisle (Inventory Locations)		0		records_management.field_stock_location__aisle			27527	records_management			stock.location														TRUE			0
Available Spaces	available_spaces	integer		Inventory Locations	TRUE		TRUE	Base Field	TRUE											Available Spaces (Inventory Locations)		0		records_management.field_stock_location__available_spaces			27534	records_management			stock.location														TRUE			0
Barcode	barcode	char		Inventory Locations			TRUE	Base Field	TRUE											Barcode (Inventory Locations)		0		stock.field_stock_location__barcode			8687	stock			stock.location														TRUE			0
Building	building	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Building (Inventory Locations)		0		records_management.field_stock_location__building			27524	records_management			stock.location														TRUE			0
Contains	child_ids	one2many		Inventory Locations		stock.location	TRUE	Base Field	TRUE											Contains (Inventory Locations)		0		stock.field_stock_location__child_ids			8675	stock			stock.location				location_id										TRUE			0
Internal locations among descendants	child_internal_location_ids	many2many		Inventory Locations	TRUE	stock.location		Base Field	TRUE											Internal locations among descendants (Inventory Locations)		0		stock.field_stock_location__child_internal_location_ids	This location (if it's internal) and all its descendants filtered by type=Internal.		8676	stock			stock.location																	0
Additional Information	comment	html		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Additional Information (Inventory Locations)		0		stock.field_stock_location__comment			8677	stock			stock.location								TRUE	TRUE	TRUE			TRUE	TRUE			0
Company	company_id	many2one	TRUE	Inventory Locations		res.company	TRUE	Base Field	TRUE						TRUE					Company (Inventory Locations)		0		stock.field_stock_location__company_id	Let this field empty if this location is shared between companies		8682	stock			stock.location	Set NULL													TRUE			0
Full Location Name	complete_name	char		Inventory Locations	TRUE		TRUE	Base Field	TRUE											Full Location Name (Inventory Locations)		0		stock.field_stock_location__complete_name			8671	stock			stock.location														TRUE			0
Container Count	container_count	integer		Inventory Locations	TRUE		TRUE	Base Field	TRUE											Container Count (Inventory Locations)		0		records_management.field_stock_location__container_count			27539	records_management			stock.location														TRUE			0
Containers	container_ids	one2many		Inventory Locations		records.container	TRUE	Base Field	TRUE											Containers (Inventory Locations)		0		records_management.field_stock_location__container_ids	Containers currently stored at this location		27538	records_management			stock.location				location_id										TRUE			0
Created on	create_date	datetime		Inventory Locations	TRUE		TRUE	Base Field	TRUE						TRUE					Created on (Inventory Locations)		0		stock.field_stock_location__create_date			8703	stock			stock.location														TRUE			0
Created by	create_uid	many2one		Inventory Locations	TRUE	res.users	TRUE	Base Field	TRUE						TRUE					Created by (Inventory Locations)		0		stock.field_stock_location__create_uid			8702	stock			stock.location	Set NULL													TRUE			0
Current Usage	current_usage	integer		Inventory Locations	TRUE		TRUE	Base Field	TRUE											Current Usage (Inventory Locations)		0		records_management.field_stock_location__current_usage	Number of containers currently stored in this location		27540	records_management			stock.location														TRUE			0
Inventory Frequency	cyclic_inventory_frequency	integer		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Inventory Frequency (Inventory Locations)		0		stock.field_stock_location__cyclic_inventory_frequency	When different than 0, inventory count date for products stored at this location will be automatically set at the defined frequency.		8689	stock			stock.location														TRUE			0
Display Name	display_name	char		Inventory Locations	TRUE			Base Field	TRUE											Display Name (Inventory Locations)		0		stock.field_stock_location__display_name			8701	stock			stock.location														TRUE			0
Fire Suppression	fire_suppression_system	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Fire Suppression (Inventory Locations)		0		records_management.field_stock_location__fire_suppression_system	Has automated fire suppression system		27545	records_management			stock.location														TRUE			0
Floor	floor	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Floor (Inventory Locations)		0		records_management.field_stock_location__floor			27525	records_management			stock.location														TRUE			0
Forecasted Weight	forecast_weight	float		Inventory Locations	TRUE			Base Field	TRUE											Forecasted Weight (Inventory Locations)		0		stock.field_stock_location__forecast_weight			8698	stock			stock.location																	0
Full Coordinates	full_coordinates	char		Inventory Locations	TRUE		TRUE	Base Field	TRUE											Full Coordinates (Inventory Locations)		0		records_management.field_stock_location__full_coordinates	Complete hierarchical address: Building/Floor/Zone/Aisle/Rack/Shelf/Position		27531	records_management			stock.location														TRUE			0
Location Group	group_id	many2one		Inventory Locations		location.group	TRUE	Base Field	TRUE						TRUE					Location Group (Inventory Locations)		0		records_management.field_stock_location__group_id	Group this location belongs to for organizational purposes		27523	records_management			stock.location	Set NULL													TRUE			0
Humidity Controlled	humidity_controlled	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Humidity Controlled (Inventory Locations)		0		records_management.field_stock_location__humidity_controlled			27544	records_management			stock.location														TRUE			0
ID	id	integer		Inventory Locations	TRUE		TRUE	Base Field	TRUE						TRUE					ID (Inventory Locations)		0		stock.field_stock_location__id			8700	stock			stock.location														TRUE			0
Incoming Move Line	incoming_move_line_ids	one2many		Inventory Locations		stock.move.line	TRUE	Base Field	TRUE											Incoming Move Line (Inventory Locations)		0		stock.field_stock_location__incoming_move_line_ids			8696	stock			stock.location				location_dest_id										TRUE			0
Is a Dock Location	is_a_dock	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Is a Dock Location (Inventory Locations)		0		stock_fleet.field_stock_location__is_a_dock			19062	stock_fleet			stock.location														TRUE			0
At Capacity	is_at_capacity	boolean		Inventory Locations	TRUE		TRUE	Base Field	TRUE											At Capacity (Inventory Locations)		0		records_management.field_stock_location__is_at_capacity			27535	records_management			stock.location														TRUE			0
Is Empty	is_empty	boolean		Inventory Locations	TRUE			Base Field	TRUE											Is Empty (Inventory Locations)		0		stock.field_stock_location__is_empty			8699	stock			stock.location														TRUE			0
Records Management Location	is_records_location	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Records Management Location (Inventory Locations)		0		records_management.field_stock_location__is_records_location	Identifies this as a records management storage location with enhanced security, compliance, and capacity tracking features.		27521	records_management			stock.location														TRUE			0
Last Inspection	last_inspection_date	date		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Last Inspection (Inventory Locations)		0		records_management.field_stock_location__last_inspection_date			27546	records_management			stock.location														TRUE			0
Last Inventory	last_inventory_date	date		Inventory Locations	TRUE		TRUE	Base Field	TRUE						TRUE					Last Inventory (Inventory Locations)		0		stock.field_stock_location__last_inventory_date	Date of the last inventory at this location.		8690	stock			stock.location														TRUE			0
Parent Location	location_id	many2one	TRUE	Inventory Locations		stock.location	TRUE	Base Field	TRUE						TRUE					Parent Location (Inventory Locations)		0		stock.field_stock_location__location_id	The parent location that includes this location. Example : The 'Dispatch Zone' is the 'Gate 1' parent location.		8674	stock			stock.location	Set NULL													TRUE			0
Location Status	location_state	selection		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Location Status (Inventory Locations)		0		records_management.field_stock_location__location_state	Records-specific location status (supplements Odoo usage field)		27536	records_management			stock.location							TRUE							TRUE	Draft	[('draft', 'Draft'), ('active', 'Active'), ('maintenance', 'Maintenance'), ('full', 'Full'), ('inactive', 'Inactive')]	0
																																														Active
																																														Maintenance
																																														Full
																																														Inactive
Maximum Capacity	max_capacity	integer		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Maximum Capacity (Inventory Locations)		0		records_management.field_stock_location__max_capacity	Maximum number of containers this location can hold		27532	records_management			stock.location														TRUE			0
Location Name	name	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Location Name (Inventory Locations)		0		stock.field_stock_location__name			8670	stock			stock.location							TRUE							TRUE			0
Net Weight	net_weight	float		Inventory Locations	TRUE			Base Field	TRUE											Net Weight (Inventory Locations)		0		stock.field_stock_location__net_weight			8697	stock			stock.location																	0
Next Inspection	next_inspection_date	date		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Next Inspection (Inventory Locations)		0		records_management.field_stock_location__next_inspection_date			27537	records_management			stock.location														TRUE			0
Next Expected	next_inventory_date	date		Inventory Locations	TRUE		TRUE	Base Field	TRUE											Next Expected (Inventory Locations)		0		stock.field_stock_location__next_inventory_date	Date for next planned inventory based on cyclic schedule.		8691	stock			stock.location														TRUE			0
Outgoing Move Line	outgoing_move_line_ids	one2many		Inventory Locations		stock.move.line	TRUE	Base Field	TRUE											Outgoing Move Line (Inventory Locations)		0		stock.field_stock_location__outgoing_move_line_ids			8695	stock			stock.location				location_id										TRUE			0
Parent Path	parent_path	char	TRUE	Inventory Locations			TRUE	Base Field	TRUE						TRUE					Parent Path (Inventory Locations)		0		stock.field_stock_location__parent_path			8681	stock			stock.location														TRUE			0
Position	position	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Position (Inventory Locations)		0		records_management.field_stock_location__position			27530	records_management			stock.location														TRUE			0
Corridor (X)	posx	integer		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Corridor (X) (Inventory Locations)		0		stock.field_stock_location__posx	Optional localization details, for information purpose only		8678	stock			stock.location														TRUE			0
Shelves (Y)	posy	integer		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Shelves (Y) (Inventory Locations)		0		stock.field_stock_location__posy	Optional localization details, for information purpose only		8679	stock			stock.location														TRUE			0
Height (Z)	posz	integer		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Height (Z) (Inventory Locations)		0		stock.field_stock_location__posz	Optional localization details, for information purpose only		8680	stock			stock.location														TRUE			0
Putaway Rules	putaway_rule_ids	one2many		Inventory Locations		stock.putaway.rule	TRUE	Base Field	TRUE											Putaway Rules (Inventory Locations)		0		stock.field_stock_location__putaway_rule_ids			8686	stock			stock.location				location_in_id										TRUE			0
Inventory On Hand	quant_ids	one2many		Inventory Locations		stock.quant	TRUE	Base Field	TRUE											Inventory On Hand (Inventory Locations)		0		records_management.field_stock_location__quant_ids	All inventory currently at this location		8688	records_management, stock			stock.location				location_id										TRUE			0
Rack	rack	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Rack (Inventory Locations)		0		records_management.field_stock_location__rack			27528	records_management			stock.location														TRUE			0
Records Containers	records_container_count	integer		Inventory Locations	TRUE			Base Field	TRUE											Records Containers (Inventory Locations)		0		records_management.field_stock_location__records_container_count	Number of records containers at this location		32723	records_management			stock.location																	0
Records Management Notes	records_description	text		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Records Management Notes (Inventory Locations)		0		records_management.field_stock_location__records_description	Special instructions for records handling, access, or compliance		27522	records_management			stock.location														TRUE			0
Removal Strategy	removal_strategy_id	many2one		Inventory Locations		product.removal	TRUE	Base Field	TRUE						TRUE					Removal Strategy (Inventory Locations)		0		stock.field_stock_location__removal_strategy_id	"Defines the default method used for suggesting the exact location (shelf) where to take the products from, which lot etc. for this location. This method can be enforced at the product category level, and a fallback is made on the parent locations if none is set here.

FIFO: products/lots that were stocked first will be moved out first.
LIFO: products/lots that were stocked last will be moved out first.
Closet location: products/lots closest to the target location will be moved out first.
FEFO: products/lots with the closest removal date will be moved out first (the availability of this method depends on the "Expiration Dates" setting)."		8685	stock			stock.location	Set NULL													TRUE			0
Replenish Location	replenish_location	boolean		Inventory Locations			TRUE	Base Field	TRUE											Replenish Location (Inventory Locations)		0		stock.field_stock_location__replenish_location	Activate this function to get all quantities to replenish at this particular location		8684	stock			stock.location														TRUE			0
Is a Scrap Location?	scrap_location	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Is a Scrap Location? (Inventory Locations)		0		stock.field_stock_location__scrap_location	Check this box to allow using this location to put scrapped/damaged goods.		8683	stock			stock.location														TRUE			0
Security Level	security_level	selection		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Security Level (Inventory Locations)		0		records_management.field_stock_location__security_level	Security classification for this location		27541	records_management			stock.location														TRUE	Public	[('public', 'Public'), ('internal', 'Internal'), ('confidential', 'Confidential'), ('restricted', 'Restricted')]	0
																																														Internal
																																														Confidential
																																														Restricted
Shelf	shelf	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Shelf (Inventory Locations)		0		records_management.field_stock_location__shelf			27529	records_management			stock.location														TRUE			0
Status	state	selection		Inventory Locations			TRUE	Base Field	TRUE											Status (Inventory Locations)		0		records_management.field_stock_location__state			27547	records_management			stock.location														TRUE	Draft	[('draft', 'Draft'), ('active', 'Active'), ('maintenance', 'Under Maintenance'), ('full', 'Full'), ('inactive', 'Inactive')]	0
																																														Active
																																														Under Maintenance
																																														Full
																																														Inactive
Storage Category	storage_category_id	many2one		Inventory Locations		stock.storage.category	TRUE	Base Field	TRUE						TRUE					Storage Category (Inventory Locations)		0		stock.field_stock_location__storage_category_id			8694	stock			stock.location	Set NULL													TRUE			0
Temperature Controlled	temperature_controlled	boolean		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Temperature Controlled (Inventory Locations)		0		records_management.field_stock_location__temperature_controlled	Climate-controlled environment		27543	records_management			stock.location														TRUE			0
Location Type	usage	selection	TRUE	Inventory Locations			TRUE	Base Field	TRUE						TRUE					Location Type (Inventory Locations)		0		stock.field_stock_location__usage	"* Vendor Location: Virtual location representing the source location for products coming from your vendors
* View: Virtual location used to create a hierarchical structures for your warehouse, aggregating its child locations ; can't directly contain products
* Internal Location: Physical locations inside your own warehouses,
* Customer Location: Virtual location representing the destination location for products sent to your customers
* Inventory Loss: Virtual location serving as counterpart for inventory operations used to correct stock levels (Physical inventories)
* Production: Virtual counterpart location for production operations: this location consumes the components and produces finished products
* Transit Location: Counterpart location that should be used in inter-company or inter-warehouses operations"		8673	stock			stock.location							TRUE							TRUE	Vendor Location	[('supplier', 'Vendor Location'), ('view', 'View'), ('internal', 'Internal Location'), ('customer', 'Customer Location'), ('inventory', 'Inventory Loss'), ('production', 'Production'), ('transit', 'Transit Location')]	0
																																														View
																																														Internal Location
																																														Customer Location
																																														Inventory Loss
																																														Production
																																														Transit Location
Utilization %	utilization_percentage	float		Inventory Locations	TRUE		TRUE	Base Field	TRUE											Utilization % (Inventory Locations)		0		records_management.field_stock_location__utilization_percentage	Percentage of capacity currently utilized		27533	records_management			stock.location														TRUE			0
Stock Valuation Account (Incoming)	valuation_in_account_id	many2one		Inventory Locations		account.account	TRUE	Base Field	TRUE						TRUE					Stock Valuation Account (Incoming) (Inventory Locations)		0		stock_account.field_stock_location__valuation_in_account_id	Used for real-time inventory valuation. When set on a virtual location (non internal type), this account will be used to hold the value of products being moved from an internal location into this location, instead of the generic Stock Output Account set on the product. This has no effect for internal locations.		10910	stock_account			stock.location	Set NULL													TRUE			0
Stock Valuation Account (Outgoing)	valuation_out_account_id	many2one		Inventory Locations		account.account	TRUE	Base Field	TRUE						TRUE					Stock Valuation Account (Outgoing) (Inventory Locations)		0		stock_account.field_stock_location__valuation_out_account_id	Used for real-time inventory valuation. When set on a virtual location (non internal type), this account will be used to hold the value of products being moved out of this location and into an internal location, instead of the generic Stock Output Account set on the product. This has no effect for internal locations.		10911	stock_account			stock.location	Set NULL													TRUE			0
Warehouse	warehouse_id	many2one		Inventory Locations	TRUE	stock.warehouse	TRUE	Base Field	TRUE											Warehouse (Inventory Locations)		0		stock.field_stock_location__warehouse_id			8693	stock			stock.location	Set NULL													TRUE			0
Warehouse View	warehouse_view_ids	one2many		Inventory Locations	TRUE	stock.warehouse	TRUE	Base Field	TRUE											Warehouse View (Inventory Locations)		0		stock.field_stock_location__warehouse_view_ids			8692	stock			stock.location				view_location_id										TRUE			0
Last Updated on	write_date	datetime		Inventory Locations	TRUE		TRUE	Base Field	TRUE						TRUE					Last Updated on (Inventory Locations)		0		stock.field_stock_location__write_date			8705	stock			stock.location														TRUE			0
Last Updated by	write_uid	many2one		Inventory Locations	TRUE	res.users	TRUE	Base Field	TRUE						TRUE					Last Updated by (Inventory Locations)		0		stock.field_stock_location__write_uid			8704	stock			stock.location	Set NULL													TRUE			0
Zone	zone	char		Inventory Locations			TRUE	Base Field	TRUE						TRUE					Zone (Inventory Locations)		0		records_management.field_stock_location__zone			27526	records_management			stock.location														TRUE			0
